DB 245, 245, 245, 246, 18, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
DB 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
DB 0, 0, 0, 0, 17, 18, 246, 245, 245, 245, 245, 245, 245, 222, 18, 17, 17, 0, 0, 0
DB 17, 17, 17, 0, 0, 0, 17, 185, 185, 185, 185, 185, 185, 185, 185, 185, 17, 17, 0, 0
DB 0, 0, 17, 17, 17, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 222, 245, 245, 245
DB 245, 245, 222, 18, 18, 186, 186, 0, 0, 113, 6, 6, 113, 17, 17, 185, 113, 6, 6, 6
DB 6, 6, 6, 6, 6, 6, 114, 114, 113, 113, 113, 113, 114, 114, 114, 113, 0, 0, 0, 0
DB 0, 0, 0, 0, 0, 17, 18, 222, 245, 245, 245, 222, 18, 18, 114, 6, 113, 0, 17, 6
DB 42, 42, 6, 186, 17, 17, 114, 41, 41, 41, 6, 41, 41, 6, 6, 6, 6, 41, 41, 41
DB 6, 6, 41, 41, 41, 6, 0, 0, 17, 18, 17, 0, 0, 0, 0, 17, 17, 18, 222, 245
DB 18, 18, 17, 114, 6, 6, 113, 0, 17, 6, 42, 42, 41, 113, 0, 0, 113, 6, 6, 4
DB 6, 6, 6, 6, 6, 114, 6, 41, 42, 42, 41, 41, 42, 42, 42, 6, 0, 0, 220, 23
DB 163, 210, 17, 0, 0, 185, 186, 18, 18, 18, 17, 17, 186, 41, 42, 41, 114, 17, 17, 6
DB 42, 42, 41, 114, 0, 0, 17, 186, 186, 186, 185, 185, 185, 185, 185, 185, 113, 6, 41, 42
DB 42, 41, 42, 42, 42, 6, 0, 0, 172, 28, 89, 163, 113, 0, 17, 114, 6, 113, 17, 17
DB 0, 17, 6, 42, 42, 41, 6, 186, 186, 114, 6, 6, 6, 113, 17, 0, 0, 17, 220, 244
DB 18, 0, 0, 0, 0, 0, 185, 186, 6, 41, 42, 42, 42, 42, 42, 6, 0, 0, 148, 29
DB 90, 64, 6, 184, 185, 6, 41, 114, 17, 0, 0, 185, 6, 42, 42, 42, 41, 6, 114, 113
DB 186, 186, 186, 113, 185, 0, 0, 197, 3, 7, 162, 185, 0, 0, 0, 17, 185, 17, 185, 6
DB 41, 42, 42, 42, 42, 6, 0, 0, 125, 7, 66, 12, 6, 184, 185, 6, 42, 6, 17, 0
DB 0, 185, 6, 42, 42, 42, 41, 41, 114, 17, 0, 0, 185, 114, 113, 184, 0, 125, 101, 15
DB 66, 6, 184, 0, 0, 113, 113, 0, 0, 113, 6, 41, 41, 42, 41, 6, 0, 0, 199, 20
DB 6, 6, 114, 185, 185, 41, 42, 6, 17, 0, 0, 17, 186, 114, 6, 6, 6, 6, 186, 0
DB 0, 0, 113, 6, 6, 113, 0, 220, 90, 30, 67, 41, 113, 0, 17, 114, 6, 114, 185, 185
DB 113, 114, 6, 6, 6, 113, 0, 0, 17, 113, 114, 114, 185, 0, 186, 41, 42, 6, 17, 0
DB 0, 0, 0, 17, 17, 17, 185, 17, 0, 0, 0, 186, 6, 41, 6, 185, 0, 17, 12, 66
DB 43, 41, 113, 0, 0, 114, 42, 42, 6, 185, 0, 0, 17, 185, 185, 17, 0, 0, 113, 6
DB 6, 186, 0, 0, 186, 41, 42, 6, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
DB 185, 6, 41, 42, 41, 114, 17, 0, 113, 6, 6, 114, 185, 17, 185, 6, 42, 42, 41, 185
DB 0, 0, 0, 0, 0, 0, 0, 0, 113, 4, 113, 0, 0, 0, 0, 6, 41, 114, 17, 0
DB 0, 0, 0, 0, 0, 0, 0, 0, 0, 186, 6, 6, 41, 41, 41, 6, 114, 185, 17, 184
DB 185, 185, 185, 113, 114, 6, 42, 42, 41, 186, 0, 0, 0, 0, 0, 0, 0, 0, 17, 184
DB 0, 0, 0, 0, 0, 185, 113, 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 6
DB 41, 41, 41, 41, 41, 41, 6, 114, 0, 0, 0, 0, 186, 6, 41, 41, 41, 41, 6, 113
DB 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 17, 0, 0, 0, 0, 0
DB 17, 17, 0, 0, 17, 185, 17, 0, 185, 6, 42, 41, 6, 6, 41, 41, 41, 6, 186, 0
DB 0, 17, 114, 6, 42, 41, 6, 114, 114, 113, 185, 0, 0, 17, 244, 174, 174, 150, 151, 220
DB 151, 150, 173, 172, 150, 17, 0, 0, 17, 17, 18, 18, 17, 17, 113, 114, 186, 0, 185, 6
DB 42, 41, 6, 6, 41, 41, 41, 6, 114, 186, 186, 114, 6, 41, 42, 41, 6, 185, 185, 114
DB 113, 185, 17, 221, 24, 29, 29, 28, 28, 28, 28, 28, 29, 29, 27, 221, 0, 17, 18, 18
DB 245, 245, 17, 17, 114, 6, 114, 17, 17, 6, 41, 41, 41, 41, 41, 41, 41, 6, 6, 6
DB 6, 6, 41, 41, 42, 41, 113, 0, 0, 114, 6, 113, 186, 20, 27, 15, 15, 15, 15, 15
DB 15, 15, 15, 15, 30, 8, 0, 17, 222, 245, 245, 245, 18, 17, 6, 6, 6, 17, 0, 6
DB 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 42, 42, 41, 186, 0, 0, 114
DB 41, 6, 186, 234, 65, 91, 91, 91, 91, 91, 91, 91, 30, 91, 66, 137, 0, 18, 245, 245
DB 245, 245, 17, 17, 114, 6, 114, 17, 0, 6, 41, 41, 6, 6, 6, 6, 6, 41, 41, 41
